Value,Footprint,LCSC Part #,Total Quantity,Brain Quantity,Brain Designators,Mouth Quantity,Mouth Designators,Eye Quantity,Eye Designators,LCSC Added In Post,Post-Added LCSC Designators
0.05R,1206,,2,2,"R44, R45",0,,0,,No,
0.1uF,0402,C77020,16,16,"C25, C28, C36, C40, C59, C62, C64, C65, C66, C67, C68, C69, C8, C96, C82, C9",0,,0,,Yes,"brain:C82, C9"
0.1uF,0603,,28,8,"C1, C15, C2, C29, C47, C51, C56, C92",11,"C1, C10, C11, C12, C13, C14, C15, C19, C20, C8, C9",9,"C1, C10, C11, C12, C13, C14, C15, C8, C9",No,
0.22uF,0603,,4,4,"C80, C83, C85, C87",0,,0,,No,
1.0 uH,IND-SMD_L7.1-W6.5-P5.60,C87572,1,1,L1,0,,0,,No,
100,0603,,2,0,,0,,2,"R1, R7",No,
100k,0603,,3,2,"R58, R59",0,,1,R5,No,
100R,0603,,2,1,R16,1,R7,0,,No,
10k,0603,,17,12,"R18, R23, R25, R28, R29, R4, R52, R53, R54, R55, R56, R57",3,"R2, R4, R5",2,"R2, R4",No,
10k,PinHeader_1x02_P2.54mm_Vertical,,1,1,TH1,0,,0,,No,
10k,RES-ADJ-SMD_3P-L3.8-W3.7_VGF39NCHXT,C22461454,1,1,RV1,0,,0,,No,
10nF,0603,,4,4,"C3, C44, C75, C76",0,,0,,No,
10R,0603,,1,1,R33,0,,0,,No,
10uF,0603,C194427,35,35,"C10, C11, C12, C13, C4, C60, C61, C63, C7, C81, C84, C88, C89, C93, C95, C17, C18, C19, C20, C21, C22, C23, C26, C27, C33, C34, C35, C37, C38, C39, C41, C52, C53, C54, C55",0,,0,,Yes,"brain:C10, C11, C12, C13, C4, C60, C61, C63, C7, C81, C84, C88, C89, C93, C95"
10uF,0805,,9,0,,5,"C22, C4, C5, C6, C7",4,"C4, C5, C6, C7",No,
12.4k,0603,,1,1,R38,0,,0,,No,
12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,2,0,,1,Y1,1,Y1,No,
15.8k,0603,,1,1,R26,0,,0,,No,
15pF,0603,C1644,2,2,"C70, C71",0,,0,,No,
16V 2.6A,1812,C438899,1,1,F1,0,,0,,No,
1k,0603,,18,8,"R10, R11, R40, R41, R6, R7, R8, R9",5,"R10, R11, R3, R8, R9",5,"R10, R11, R3, R8, R9",No,
1M,0603,,3,3,"R1, R30, R39",0,,0,,No,
1nF,0603,,1,1,C24,0,,0,,No,
1nF/2kV,1206,C23631,1,1,C78,0,,0,,No,
1uF,0603,,10,3,"C14, C16, C90",4,"C16, C17, C18, C21",3,"C16, C17, C18",No,
2.2k,0603,,1,1,R24,0,,0,,No,
2.7nF,0603,,1,1,C45,0,,0,,No,
20k,0603,,5,5,"R46, R47, R48, R49, R50",0,,0,,No,
22,0603,,1,0,,0,,1,R6,No,
220pF,0603,,2,2,"C5, C6",0,,0,,No,
22nF,0603,,2,2,"C72, C79",0,,0,,No,
22R,0402,,2,2,"R60, R61",0,,0,,No,
22R,0603,,14,0,,14,"R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26",0,,No,
22uF,0805,C162295,8,8,"C42, C94, C43, C48, C49, C50, C57, C58",0,,0,,Yes,"brain:C43, C48, C49, C50, C57, C58"
22uF,CAP-SMD_BD6.3-L6.6-W6.6-FD,C72505,2,2,"C86, C91",0,,0,,No,
